participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           15	            1	            vertikal	        15	            vertikal	             correct	        5.500000e-01	   1.626098e+00	        2.975000e-01	                   0	             1.0	          1.248868e-01	      5.006358e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           45	            2	            vertikal	        45	            vertikal	             correct	        9.800000e-01	   6.775545e-01	        4.996000e-01	                   0	             2.0	          3.749611e-01	      4.998901e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           30	            3	          horizontal	        30	          horizontal	             correct	                   1	   4.181410e-01	        5.000000e-01	                   0	             3.0	          2.501707e-01	      5.005637e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           45	            4	          horizontal	        45	          horizontal	             correct	                   1	   3.517569e-01	        5.000000e-01	                   0	             4.0	          3.749616e-01	      5.006592e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           60	            5	          horizontal	        60	          horizontal	             correct	                   1	   3.344101e-01	        5.000000e-01	                   0	             5.0	          5.000734e-01	      5.006945e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           90	            6	            vertikal	        90	            vertikal	             correct	                   1	   9.854965e-01	        5.000000e-01	                   0	             6.0	          7.499602e-01	      5.006869e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           60	            7	            vertikal	        60	            vertikal	             correct	                   1	   2.614374e-01	        5.000000e-01	                   0	             7.0	          4.998573e-01	      5.007849e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           30	            8	            vertikal	        30	            vertikal	             correct	                   1	   1.681924e-01	        5.000000e-01	                   0	             8.0	          2.501394e-01	      5.006620e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           15	            9	          horizontal	        15	          horizontal	             correct	        7.300000e-01	   1.659609e+00	        4.271000e-01	                   0	             9.0	          1.251920e-01	      5.005849e-01	              valid	
   IG05NS23_2	 LeftHorizontal	       PracticeBlock	                    0	           90	           10	          horizontal	        90	          horizontal	             correct	                   1	   3.096247e-01	        5.000000e-01	                   0	            10.0	          7.498409e-01	      5.006691e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           11	          horizontal	        12	          horizontal	             correct	        8.800000e-01	   1.076388e+00	        4.856000e-01	                   0	             1.0	          1.000112e-01	      5.004680e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           12	            vertikal	         2	          horizontal	           incorrect	        5.100000e-01	   2.051596e+00	        2.399000e-01	                   0	             1.0	          1.672040e-02	      5.005586e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           13	            vertikal	        12	            vertikal	             correct	                   1	   5.422418e-01	        5.000000e-01	                   0	             2.0	          9.986520e-02	      5.008599e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           14	          horizontal	         4	            vertikal	           incorrect	        5.700000e-01	   1.043610e+00	        1.751000e-01	                   0	             2.0	          3.328010e-02	      5.006120e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           15	            vertikal	         6	          horizontal	           incorrect	        5.600000e-01	   9.840437e-01	        1.864000e-01	                   0	             2.0	          5.018610e-02	      5.005414e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           16	          horizontal	         8	            vertikal	           incorrect	        6.300000e-01	   5.105727e-01	        1.031000e-01	                   0	             2.0	          6.687880e-02	      4.997628e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           17	            vertikal	         8	          horizontal	           incorrect	        6.900000e-01	   6.594081e-01	        2.390000e-02	                   0	             2.0	          6.687100e-02	      5.006366e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           18	          horizontal	         6	          horizontal	             correct	        5.800000e-01	   8.682944e-01	        3.236000e-01	                   0	             3.0	          4.981120e-02	      5.004951e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           19	            vertikal	         4	          horizontal	           incorrect	        5.100000e-01	   1.060956e+00	        2.399000e-01	                   0	             3.0	          3.328570e-02	      4.998225e-01	              valid	
   IG05NS23_2	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           20	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   8.681410e-01	        2.500000e-01	                   0	             3.5	          1.650800e-02	      5.007948e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            6	           21	          horizontal	         6	            vertikal	           incorrect	        6.800000e-01	   6.507052e-01	        3.760000e-02	        3.760000e-02	             0.0	          5.009340e-02	      5.006152e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            6	           22	          horizontal	         6	          horizontal	             correct	        6.300000e-01	   3.011876e-01	        3.631000e-01	        4.007000e-01	             1.0	          4.972610e-02	      5.001953e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            2	           23	          horizontal	         2	          horizontal	             correct	        5.300000e-01	   5.766135e-01	        2.791000e-01	        6.798000e-01	             2.0	          1.643350e-02	      5.006363e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            4	           24	            vertikal	         4	            vertikal	             correct	        5.700000e-01	   4.019445e-01	        3.151000e-01	        9.949000e-01	             3.0	          3.359240e-02	      5.005348e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            3	           25	          horizontal	         3	            vertikal	           incorrect	        5.100000e-01	   6.270973e-01	        2.399000e-01	        1.234800e+00	             3.0	          2.499770e-02	      5.006333e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            3	           26	            vertikal	         3	            vertikal	             correct	        6.900000e-01	   3.522035e-01	        4.039000e-01	        1.638700e+00	             4.0	          2.484180e-02	      5.007471e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            2	           27	          horizontal	         2	          horizontal	             correct	        8.000000e-01	   3.856700e-01	        4.600000e-01	        2.098700e+00	             5.0	          1.651920e-02	      5.007884e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            1	           28	          horizontal	         1	          horizontal	             correct	        5.300000e-01	   6.351292e-01	        2.791000e-01	        2.377800e+00	             6.0	          8.284200e-03	      5.006641e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            4	           29	            vertikal	         4	            vertikal	             correct	        6.600000e-01	   9.101703e-01	        3.844000e-01	        2.762200e+00	             7.0	          3.333460e-02	      5.007817e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            3	           30	          horizontal	         3	          horizontal	             correct	        6.200000e-01	   4.096486e-01	        3.556000e-01	        3.117800e+00	             8.0	          2.522260e-02	      5.004694e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            1	           31	          horizontal	         1	            vertikal	           incorrect	        6.200000e-01	   5.089539e-01	        1.156000e-01	        3.233400e+00	             8.0	          7.986500e-03	      5.006391e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            6	           32	            vertikal	         6	            vertikal	             correct	        6.000000e-01	   6.510862e-01	        3.400000e-01	        3.573400e+00	             9.0	          4.993090e-02	      5.009255e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            1	           33	            vertikal	         1	          horizontal	           incorrect	        6.400000e-01	   9.428149e-01	        9.040000e-02	        3.663800e+00	             9.0	          8.472900e-03	      5.005603e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            1	           34	          horizontal	         1	            vertikal	           incorrect	        6.900000e-01	   2.936745e-01	        2.390000e-02	        3.687700e+00	             9.0	          8.132800e-03	      5.001913e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            3	           35	          horizontal	         3	          horizontal	             correct	        6.500000e-01	   4.768337e-01	        3.775000e-01	        4.065200e+00	            10.0	          2.503850e-02	      5.007819e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            1	           36	          horizontal	         1	          horizontal	             correct	        6.900000e-01	   7.009608e-01	        4.039000e-01	        4.469100e+00	            11.0	          8.060900e-03	      5.008205e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            3	           37	          horizontal	         3	            vertikal	           incorrect	        6.300000e-01	   5.596003e-01	        1.031000e-01	        4.572200e+00	            11.0	          2.509570e-02	      5.005200e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            2	           38	            vertikal	         2	            vertikal	             correct	        5.300000e-01	   1.034526e+00	        2.791000e-01	        4.851300e+00	            12.0	          1.707380e-02	      5.004274e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            6	           39	            vertikal	         6	            vertikal	             correct	        6.700000e-01	   4.759077e-01	        3.911000e-01	        5.242400e+00	            13.0	          4.969690e-02	      5.005933e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            4	           40	            vertikal	         4	            vertikal	             correct	        6.100000e-01	   1.359984e+00	        3.479000e-01	        5.590300e+00	            14.0	          3.334660e-02	      5.006962e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            2	           41	            vertikal	         2	          horizontal	           incorrect	        6.000000e-01	   4.010939e-01	        1.400000e-01	        5.730300e+00	            14.0	          1.657360e-02	      5.007962e-01	              valid	
   IG05NS23_2	 LeftHorizontal	     ExperimentBlock	                    1	            2	           42	            vertikal	         2	            vertikal	             correct	        6.500000e-01	   5.763176e-01	        3.775000e-01	        6.107800e+00	            15.0	          1.676620e-02	      5.004761e-01	              valid	
