participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           60	            1	            vertikal	        60	            vertikal	             correct	                   1	   2.176169e+00	        5.000000e-01	                   0	             1.0	          5.000290e-01	      5.006377e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           15	            2	            vertikal	        15	            vertikal	             correct	        9.800000e-01	   9.826402e+00	        4.996000e-01	                   0	             2.0	          1.249746e-01	      5.005567e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           90	            3	            vertikal	        90	            vertikal	             correct	                   1	   6.765888e-01	        5.000000e-01	                   0	             3.0	          7.500886e-01	      5.000173e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           90	            4	          horizontal	        90	          horizontal	             correct	                   1	   1.401654e+00	        5.000000e-01	                   0	             4.0	          7.500249e-01	      5.000284e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           30	            5	          horizontal	        30	          horizontal	             correct	                   1	   5.427387e-01	        5.000000e-01	                   0	             5.0	          2.500082e-01	      5.004492e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           30	            6	            vertikal	        30	            vertikal	             correct	                   1	   5.342123e-01	        5.000000e-01	                   0	             6.0	          2.500534e-01	      5.006984e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           45	            7	          horizontal	        45	          horizontal	             correct	                   1	   5.424327e-01	        5.000000e-01	                   0	             7.0	          3.750581e-01	      5.004865e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           60	            8	          horizontal	        60	          horizontal	             correct	                   1	   5.258937e-01	        5.000000e-01	                   0	             8.0	          5.000189e-01	      5.006654e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           15	            9	          horizontal	        15	          horizontal	             correct	                   1	   5.678043e-01	        5.000000e-01	                   0	             9.0	          1.250014e-01	      5.005158e-01	              valid	
   NN03UT30_1	 LeftHorizontal	       PracticeBlock	                    0	           45	           10	            vertikal	        45	            vertikal	             correct	                   1	   5.260271e-01	        5.000000e-01	                   0	            10.0	          3.750487e-01	      5.004877e-01	              valid	
