participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           90	            1	            vertikal	        90	            vertikal	             correct	                   1	   1.467729e+00	        5.000000e-01	                   0	             1.0	          7.498661e-01	      5.006512e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           15	            2	          horizontal	        15	          horizontal	             correct	                   1	   4.178024e-01	        5.000000e-01	                   0	             2.0	          1.248809e-01	      5.006820e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           15	            3	            vertikal	        15	            vertikal	             correct	                   1	   3.605564e-01	        5.000000e-01	                   0	             3.0	          1.250950e-01	      5.007114e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           30	            4	          horizontal	        30	          horizontal	             correct	                   1	   5.766652e-01	        5.000000e-01	                   0	             4.0	          2.499045e-01	      5.005752e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           45	            5	            vertikal	        45	            vertikal	             correct	                   1	   5.340294e-01	        5.000000e-01	                   0	             5.0	          3.750208e-01	      5.007786e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           45	            6	          horizontal	        45	          horizontal	             correct	                   1	   5.271657e-01	        5.000000e-01	                   0	             6.0	          3.749453e-01	      5.006009e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           90	            7	          horizontal	        90	          horizontal	             correct	                   1	   7.677335e-01	        5.000000e-01	                   0	             7.0	          7.501980e-01	      5.007606e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           30	            8	            vertikal	        30	            vertikal	             correct	                   1	   4.429921e-01	        5.000000e-01	                   0	             8.0	          2.503558e-01	      4.999054e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           60	            9	            vertikal	        60	            vertikal	             correct	                   1	   3.428452e-01	        5.000000e-01	                   0	             9.0	          4.997803e-01	      5.001809e-01	              valid	
   NA06LF22_2	   LeftVertical	       PracticeBlock	                    0	           60	           10	          horizontal	        60	          horizontal	             correct	                   1	   2.768177e-01	        5.000000e-01	                   0	            10.0	          4.998282e-01	      5.006801e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            6	           11	            vertikal	         6	            vertikal	             correct	                   1	   1.184085e+00	        5.000000e-01	                   0	             1.0	          5.011900e-02	      5.007006e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            2	           12	          horizontal	         2	          horizontal	             correct	        7.300000e-01	   1.884466e+00	        4.271000e-01	                   0	             2.0	          1.702380e-02	      5.004930e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            4	           13	            vertikal	         4	            vertikal	             correct	        7.400000e-01	   1.877322e+00	        4.324000e-01	                   0	             3.0	          3.319760e-02	      4.999031e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            8	           14	            vertikal	         8	          horizontal	           incorrect	                   1	   8.262840e-01	       -5.000000e-01	                   0	             3.0	          6.667900e-02	      5.006825e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            6	           15	          horizontal	         6	            vertikal	           incorrect	        8.100000e-01	   1.742945e+00	       -1.561000e-01	                   0	             3.0	          4.999650e-02	      5.009535e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	           12	           16	          horizontal	        12	          horizontal	             correct	                   1	   3.931693e-01	        5.000000e-01	                   0	             4.0	          1.002474e-01	      5.006763e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            4	           17	          horizontal	         4	            vertikal	           incorrect	        6.900000e-01	   2.058911e+00	        2.390000e-02	                   0	             4.0	          3.362120e-02	      5.006257e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            2	           18	            vertikal	         2	            vertikal	             correct	        7.100000e-01	   3.134323e+00	        4.159000e-01	                   0	             5.0	          1.672340e-02	      5.005332e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	           12	           19	            vertikal	        12	            vertikal	             correct	                   1	   4.758733e-01	        5.000000e-01	                   0	             6.0	          9.984010e-02	      5.007728e-01	              valid	
   NA06LF22_2	   LeftVertical	   FastPracticeBlock	                    0	            8	           20	          horizontal	         8	          horizontal	             correct	                   1	   5.429886e-01	        5.000000e-01	                   0	             7.0	          6.663050e-02	      5.006543e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            6	           21	          horizontal	         6	            vertikal	           incorrect	                   1	   8.680779e-01	       -5.000000e-01	       -5.000000e-01	             0.0	          4.993230e-02	      5.006152e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            2	           22	          horizontal	         2	          horizontal	             correct	        6.500000e-01	   2.126765e+00	        3.775000e-01	       -1.225000e-01	             1.0	          1.676960e-02	      5.007268e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            2	           23	            vertikal	         2	            vertikal	             correct	        6.600000e-01	   2.267603e+00	        3.844000e-01	        2.619000e-01	             2.0	          1.671050e-02	      5.007313e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            6	           24	            vertikal	         6	          horizontal	           incorrect	        6.500000e-01	   2.292311e+00	        7.750000e-02	        3.394000e-01	             2.0	          5.049500e-02	      5.003523e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            6	           25	            vertikal	         6	            vertikal	             correct	                   1	   2.609408e+00	        5.000000e-01	        8.394000e-01	             3.0	          4.987680e-02	      5.007233e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            1	           26	          horizontal	         1	          horizontal	             correct	        7.000000e-01	   1.876890e+00	        4.100000e-01	        1.249400e+00	             4.0	          8.249200e-03	      5.006705e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            3	           27	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   2.426083e+00	        3.400000e-01	        1.589400e+00	             5.0	          2.487510e-02	      5.007410e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            3	           28	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   2.376858e+00	        3.400000e-01	        1.929400e+00	             6.0	          2.483920e-02	      5.007856e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            3	           29	          horizontal	         3	            vertikal	           incorrect	        6.000000e-01	   1.983977e+00	        1.400000e-01	        2.069400e+00	             6.0	          2.499660e-02	      5.006978e-01	              valid	
   NA06LF22_2	   LeftVertical	     ExperimentBlock	                    1	            2	           30	          horizontal	         2	          horizontal	             correct	        6.000000e-01	   3.935491e+00	        3.400000e-01	        2.409400e+00	             7.0	          1.662350e-02	      5.006999e-01	              valid	
