participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           90	            1	            vertikal	        90	            vertikal	             correct	                   1	   1.785917e+00	        5.000000e-01	                   0	             1.0	          7.500828e-01	      5.000849e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           30	            2	          horizontal	        30	          indecisive	          indecisive	        5.000000e-01	   2.717822e+00	        2.500000e-01	                   0	             1.5	          2.501056e-01	      5.006263e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           15	            3	          horizontal	        15	          horizontal	             correct	        7.200000e-01	   1.443433e+00	        4.216000e-01	                   0	             2.5	          1.250790e-01	      5.006785e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           30	            4	            vertikal	        30	            vertikal	             correct	                   1	   1.184230e+00	        5.000000e-01	                   0	             3.5	          2.499409e-01	      5.006843e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           45	            5	            vertikal	        45	            vertikal	             correct	                   1	   8.521307e-01	        5.000000e-01	                   0	             4.5	          3.750692e-01	      5.006108e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           90	            6	          horizontal	        90	          horizontal	             correct	                   1	   8.596698e-01	        5.000000e-01	                   0	             5.5	          7.499403e-01	      5.007512e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           60	            7	          horizontal	        60	          horizontal	             correct	                   1	   8.510470e-01	        5.000000e-01	                   0	             6.5	          5.001051e-01	      5.005832e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           60	            8	            vertikal	        60	            vertikal	             correct	                   1	   1.025837e+00	        5.000000e-01	                   0	             7.5	          4.998886e-01	      5.007377e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           15	            9	            vertikal	        15	            vertikal	             correct	        7.300000e-01	   1.342723e+00	        4.271000e-01	                   0	             8.5	          1.250171e-01	      5.007468e-01	              valid	
   ER05NG19_1	   LeftVertical	       PracticeBlock	                    0	           45	           10	          horizontal	        45	          horizontal	             correct	        9.900000e-01	   6.845905e-01	        4.999000e-01	                   0	             9.5	          3.748771e-01	      4.999975e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	           12	           11	            vertikal	        12	            vertikal	             correct	                   1	   6.190046e-01	        5.000000e-01	                   0	             1.0	          1.000961e-01	      5.000839e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            8	           12	          horizontal	         8	          horizontal	             correct	        7.300000e-01	   7.505429e-01	        4.271000e-01	                   0	             2.0	          6.663070e-02	      5.006863e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            2	           13	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   1.176875e+00	        2.500000e-01	                   0	             2.5	          1.651320e-02	      5.006656e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            6	           14	          horizontal	         6	          horizontal	             correct	        8.200000e-01	   8.338299e-01	        4.676000e-01	                   0	             3.5	          4.987990e-02	      5.005196e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            4	           15	            vertikal	         4	            vertikal	             correct	        7.500000e-01	   7.924206e-01	        4.375000e-01	                   0	             4.5	          3.317850e-02	      5.007188e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            6	           16	            vertikal	         6	            vertikal	             correct	        5.500000e-01	   9.181534e-01	        2.975000e-01	                   0	             5.5	          4.989160e-02	      5.007194e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	           12	           17	          horizontal	        12	          horizontal	             correct	                   1	   6.087624e-01	        5.000000e-01	                   0	             6.5	          9.995770e-02	      5.007455e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            2	           18	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   6.756840e-01	        2.500000e-01	                   0	             7.0	          1.662470e-02	      5.007107e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            8	           19	            vertikal	         8	            vertikal	             correct	        6.900000e-01	   1.076472e+00	        4.039000e-01	                   0	             8.0	          6.671290e-02	      5.006643e-01	              valid	
   ER05NG19_1	   LeftVertical	   FastPracticeBlock	                    0	            4	           20	          horizontal	         4	          horizontal	             correct	        5.200000e-01	   1.083903e+00	        2.696000e-01	                   0	             9.0	          3.348990e-02	      5.006636e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           21	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   9.354457e-01	        2.500000e-01	        2.500000e-01	             0.5	          1.657270e-02	      5.001739e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            4	           22	          horizontal	         4	            vertikal	           incorrect	        5.500000e-01	   1.277050e+00	        1.975000e-01	        4.475000e-01	             0.5	          3.324040e-02	      5.007454e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           23	            vertikal	         2	          horizontal	           incorrect	        5.700000e-01	   1.268641e+00	        1.751000e-01	        6.226000e-01	             0.5	          1.674590e-02	      5.007014e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            1	           24	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   6.847957e-01	        2.500000e-01	        8.726000e-01	             1.0	          8.315500e-03	      5.007900e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            6	           25	          horizontal	         6	          horizontal	             correct	        6.300000e-01	   9.179770e-01	        3.631000e-01	        1.235700e+00	             2.0	          5.004430e-02	      5.007468e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           26	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   5.771055e-01	        2.500000e-01	        1.485700e+00	             2.5	          1.666040e-02	      5.007780e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           27	          horizontal	         2	            vertikal	           incorrect	        5.900000e-01	   8.851006e-01	        1.519000e-01	        1.637600e+00	             2.5	          1.661800e-02	      5.007329e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           28	          horizontal	         3	            vertikal	           incorrect	        6.400000e-01	   1.226946e+00	        9.040000e-02	        1.728000e+00	             2.5	          2.486990e-02	      5.007867e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           29	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   5.424976e-01	        2.500000e-01	        1.978000e+00	             3.0	          1.669300e-02	      5.006486e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           30	          horizontal	         3	          horizontal	             correct	        5.600000e-01	   7.596851e-01	        3.064000e-01	        2.284400e+00	             4.0	          2.490790e-02	      5.006868e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            1	           31	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   1.010081e+00	        2.500000e-01	        2.534400e+00	             4.5	          8.276200e-03	      5.000932e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           32	          horizontal	         2	          horizontal	             correct	        6.300000e-01	   7.845368e-01	        3.631000e-01	        2.897500e+00	             5.5	          1.653290e-02	      5.007468e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            6	           33	            vertikal	         6	          horizontal	           incorrect	        6.200000e-01	   1.086028e+00	        1.156000e-01	        3.013100e+00	             5.5	          5.009070e-02	      4.999684e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            1	           34	            vertikal	         1	            vertikal	             correct	        5.900000e-01	   1.310136e+00	        3.319000e-01	        3.345000e+00	             6.5	          8.434200e-03	      5.006861e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            2	           35	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   1.552422e+00	        2.500000e-01	        3.595000e+00	             7.0	          1.637340e-02	      5.002561e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           36	            vertikal	         3	            vertikal	             correct	        6.400000e-01	   9.673737e-01	        3.704000e-01	        3.965400e+00	             8.0	          2.495000e-02	      5.007278e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           37	          horizontal	         3	          horizontal	             correct	        6.300000e-01	   7.351370e-01	        3.631000e-01	        4.328500e+00	             9.0	          2.522820e-02	      4.997333e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            4	           38	            vertikal	         4	            vertikal	             correct	        5.600000e-01	   1.077329e+00	        3.064000e-01	        4.634900e+00	            10.0	          3.323720e-02	      5.006707e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           39	            vertikal	         3	          horizontal	           incorrect	        5.600000e-01	   1.234123e+00	        1.864000e-01	        4.821300e+00	            10.0	          2.490740e-02	      5.007897e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            1	           40	          horizontal	         1	            vertikal	           incorrect	        6.600000e-01	   9.843065e-01	        6.440000e-02	        4.885700e+00	            10.0	          8.196200e-03	      5.006479e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           41	          horizontal	         3	          horizontal	             correct	        5.700000e-01	   9.591541e-01	        3.151000e-01	        5.200800e+00	            11.0	          2.485090e-02	      5.006990e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            3	           42	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   7.429979e-01	        3.400000e-01	        5.540800e+00	            12.0	          2.488210e-02	      5.006942e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            6	           43	          horizontal	         6	          horizontal	             correct	        5.700000e-01	   6.928836e-01	        3.151000e-01	        5.855900e+00	            13.0	          5.002940e-02	      5.006625e-01	              valid	
   ER05NG19_1	   LeftVertical	     ExperimentBlock	                    1	            4	           44	          horizontal	         4	          horizontal	             correct	        5.600000e-01	   1.085672e+00	        3.064000e-01	        6.162300e+00	            14.0	          3.344630e-02	      5.000066e-01	              valid	
