participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           45	            1	            vertikal	        45	            vertikal	             correct	        9.000000e-01	   5.676621e+00	        4.900000e-01	                   0	             1.0	          3.750774e-01	      5.005739e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           15	            2	          horizontal	        15	          horizontal	             correct	                   1	   1.892967e+00	        5.000000e-01	                   0	             2.0	          1.246313e-01	      5.008814e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           60	            3	          horizontal	        60	          horizontal	             correct	                   1	   9.762704e-01	        5.000000e-01	                   0	             3.0	          4.999733e-01	      5.007782e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           60	            4	            vertikal	        60	            vertikal	             correct	                   1	   6.591893e-01	        5.000000e-01	                   0	             4.0	          4.998704e-01	      5.007679e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           90	            5	            vertikal	        90	            vertikal	             correct	                   1	   5.526401e+00	        5.000000e-01	                   0	             5.0	          7.500558e-01	      5.006543e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           90	            6	          horizontal	        90	          horizontal	             correct	                   1	   9.680692e-01	        5.000000e-01	                   0	             6.0	          7.498922e-01	      5.006964e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           30	            7	            vertikal	        30	            vertikal	             correct	                   1	   1.135144e+00	        5.000000e-01	                   0	             7.0	          2.501407e-01	      5.000652e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           15	            8	            vertikal	        15	            vertikal	             correct	                   1	   7.431495e-01	        5.000000e-01	                   0	             8.0	          1.251542e-01	      5.006233e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           45	            9	          horizontal	        45	          horizontal	             correct	                   1	   7.097758e-01	        5.000000e-01	                   0	             9.0	          3.748643e-01	      5.006604e-01	              valid	
   ER07LF30_1	   LeftVertical	       PracticeBlock	                    0	           30	           10	          horizontal	        30	          horizontal	             correct	                   1	   8.182879e-01	        5.000000e-01	                   0	            10.0	          2.503039e-01	      4.998723e-01	              valid	
   ER07LF30_1	   LeftVertical	   FastPracticeBlock	                    0	            2	           11	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   4.026561e+00	        2.500000e-01	                   0	             0.5	          1.686580e-02	      5.006848e-01	              valid	
   ER07LF30_1	   LeftVertical	   FastPracticeBlock	                    0	            4	           12	            vertikal	         4	            vertikal	             correct	        6.000000e-01	   5.834703e+00	        3.400000e-01	                   0	             1.5	          3.273880e-02	      5.008258e-01	              valid	
