participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           15	            1	          horizontal	        15	          horizontal	             correct	        9.900000e-01	   1.635536e+00	        4.999000e-01	                   0	             1.0	          1.249210e-01	      5.005803e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           45	            2	            vertikal	        45	            vertikal	             correct	                   1	   5.516682e-01	        5.000000e-01	                   0	             2.0	          3.751224e-01	      5.006571e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           90	            3	            vertikal	        90	            vertikal	             correct	                   1	   4.679415e-01	        5.000000e-01	                   0	             3.0	          7.499887e-01	      5.007897e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           45	            4	          horizontal	        45	          horizontal	             correct	        9.900000e-01	   8.344887e-01	        4.999000e-01	                   0	             4.0	          3.750033e-01	      5.005316e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           60	            5	            vertikal	        60	            vertikal	             correct	                   1	   4.437281e-01	        5.000000e-01	                   0	             5.0	          4.999385e-01	      5.005584e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           60	            6	          horizontal	        60	          horizontal	             correct	                   1	   4.353642e-01	        5.000000e-01	                   0	             6.0	          4.999558e-01	      5.006809e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           90	            7	          horizontal	        90	          horizontal	             correct	                   1	   6.428481e-01	        5.000000e-01	                   0	             7.0	          7.500453e-01	      5.007696e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           30	            8	          horizontal	        30	          horizontal	             correct	                   1	   8.507392e-01	        5.000000e-01	                   0	             8.0	          2.498350e-01	      5.006706e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           30	            9	            vertikal	        30	            vertikal	             correct	                   1	   5.191163e-01	        5.000000e-01	                   0	             9.0	          2.496945e-01	      5.008145e-01	              valid	
   DL06FA16_3	 LeftHorizontal	       PracticeBlock	                    0	           15	           10	            vertikal	        15	            vertikal	             correct	                   1	   6.260255e-01	        5.000000e-01	                   0	            10.0	          1.250346e-01	      5.005764e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           11	            vertikal	         2	            vertikal	             correct	        5.800000e-01	   2.209882e+00	        3.236000e-01	                   0	             1.0	          1.667340e-02	      5.006774e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           12	            vertikal	         6	          horizontal	           incorrect	        7.500000e-01	   1.900835e+00	       -6.250000e-02	                   0	             1.0	          5.008900e-02	      5.007620e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           13	          horizontal	         4	          horizontal	             correct	        6.400000e-01	   2.142860e+00	        3.704000e-01	                   0	             2.0	          3.339360e-02	      5.005615e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           14	          horizontal	         6	          horizontal	             correct	        6.500000e-01	   1.485037e+00	        3.775000e-01	                   0	             3.0	          4.981050e-02	      5.007185e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           15	          horizontal	         8	            vertikal	           incorrect	        6.300000e-01	   2.235663e+00	        1.031000e-01	                   0	             3.0	          6.650920e-02	      4.999894e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           16	            vertikal	        12	            vertikal	             correct	                   1	   1.459827e+00	        5.000000e-01	                   0	             4.0	          9.979370e-02	      5.008156e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           17	            vertikal	         8	          horizontal	           incorrect	        7.200000e-01	   8.848033e-01	       -1.840000e-02	                   0	             4.0	          6.659910e-02	      5.004236e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           18	            vertikal	         4	          indecisive	          indecisive	        5.000000e-01	   2.926765e+00	        2.500000e-01	                   0	             4.5	          3.312520e-02	      5.007990e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           19	          horizontal	         2	          horizontal	             correct	        5.400000e-01	   1.242985e+00	        2.884000e-01	                   0	             5.5	          1.667460e-02	      5.007610e-01	              valid	
   DL06FA16_3	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           20	          horizontal	        12	          horizontal	             correct	                   1	   9.352137e-01	        5.000000e-01	                   0	             6.5	          1.001313e-01	      4.999591e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            6	           21	            vertikal	         6	          horizontal	           incorrect	        5.200000e-01	   4.419155e+00	        2.296000e-01	        2.296000e-01	             0.0	          4.991500e-02	      4.998940e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           22	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   1.168206e+00	        3.400000e-01	        5.696000e-01	             1.0	          2.489060e-02	      5.000518e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           23	            vertikal	         2	          horizontal	           incorrect	        6.500000e-01	   7.763727e-01	        7.750000e-02	        6.471000e-01	             1.0	          1.637530e-02	      5.007191e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           24	          horizontal	         3	          horizontal	             correct	        5.600000e-01	   7.262049e-01	        3.064000e-01	        9.535000e-01	             2.0	          2.475110e-02	      5.008082e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            1	           25	            vertikal	         1	            vertikal	             correct	        6.200000e-01	   1.009585e+00	        3.556000e-01	        1.309100e+00	             3.0	          8.110400e-03	      5.007616e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            1	           26	          horizontal	         1	            vertikal	           incorrect	        5.300000e-01	   1.192789e+00	        2.191000e-01	        1.528200e+00	             3.0	          8.350500e-03	      5.005603e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            6	           27	            vertikal	         6	          horizontal	           incorrect	        6.500000e-01	   1.193000e+00	        7.750000e-02	        1.605700e+00	             3.0	          4.974840e-02	      5.008169e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           28	            vertikal	         3	            vertikal	             correct	        5.600000e-01	   7.429551e-01	        3.064000e-01	        1.912100e+00	             4.0	          2.503270e-02	      5.005912e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           29	            vertikal	         3	            vertikal	             correct	        6.100000e-01	   1.253058e+00	        3.479000e-01	        2.260000e+00	             5.0	          2.493650e-02	      5.002614e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           30	            vertikal	         2	            vertikal	             correct	        5.700000e-01	   1.160089e+00	        3.151000e-01	        2.575100e+00	             6.0	          1.665080e-02	      5.006765e-01	              valid	
   DL06FA16_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           31	          horizontal	         3	          horizontal	             correct	        6.400000e-01	   1.409423e+00	        3.704000e-01	        2.945500e+00	             7.0	          2.471750e-02	      5.007315e-01	              valid	
